Chemical Formula X2YZ,X,Y,Z,Structure Type,Total Energy Difference (eV),Formation Energy (eV),Lattice Constant (Ang),Anomalous Hall Conductivity (S/cm),Curie Temperature (K),Fermi Level (eV),Polarization,Magnetic Moments of X1 (muB),Magnetic Moments of X2 (muB),Magnetic Moments of Y (muB),Magnetic Moments of Z (muB),Total Magnetic Moments (muB),Number of Valence Electrons
Fe2FeGa,Fe,Fe,Ga,l21,0.175711,0.077855,5.702382027,604.292,727.502,8.8526,0.423705,-0.56,-0.56,2.334,0.072,1.286,27
Fe2FeGe,Fe,Fe,Ge,l21,0.000499,-0.10219375,5.70608868,240.548,778.502,9.9497,0.400092,1.42,1.42,2.604,-0.073,5.371,28
Fe2FeIn,Fe,Fe,In,xa,-0.00009,0.42224,6.048029963,821.4325,966.002,8.8115,0.162643,-2.526,2.123,2.123,-0.109,1.611,27
Fe2FePb,Fe,Fe,Pb,xa,-0.000067,0.6553365,6.115493607,606.9975,915.002,9.1649,0.376432,-2.57,1.831,1.833,-0.099,0.995,28
Fe2FeSb,Fe,Fe,Sb,xa,-0.000001,0.31525675,5.955827482,191.6412,922.502,11.5135,0.07384,-2.321,1.251,1.253,-0.065,0.118,29
Fe2FeSi,Fe,Fe,Si,l21,0.020338,-0.32024575,5.592230347,286.0653,715.502,11.304,0.46739,1.332,1.332,2.559,-0.045,5.178,28
Fe2FeSn,Fe,Fe,Sn,xa,-0.000003,0.32148875,5.996655827,384.0385,906.002,9.5075,0.046741,-2.435,1.6,1.6,-0.107,0.658,28
Fe2HfAl,Fe,Hf,Al,l21,1.153457,-0.37115475,6.008932615,21.2795,126.002,8.1403,0.808964,0.547,0.547,-0.105,-0.013,0.976,23
Fe2HfAs,Fe,Hf,As,l21,0.617167,-0.1959715,5.984448336,145.1879,159.002,9.3583,0.986084,0.604,0.604,-0.156,-0.001,1.051,25
Fe2HfB,Fe,Hf,B,l21,0.047988,0.13051325,5.685025384,134.2034,1111.5,8.2212,0.841945,0.509,0.509,-0.07,-0.019,0.929,23
Fe2HfBi,Fe,Hf,Bi,l21,1.003184,0.1531165,6.328174356,296.4059,105.002,9.2835,0.67439,0.72,0.72,-0.202,-0.041,1.197,25
Fe2HfGa,Fe,Hf,Ga,l21,0.70664,-0.27950975,6.011796398,172.9303,84.0015,6.9812,0.868307,0.556,0.556,-0.124,-0.036,0.952,23
Fe2HfGe,Fe,Hf,Ge,l21,1.093627,-0.3554755,5.972971993,0,0,8.7081,0.011043,0,0,0,0,0,24
Fe2HfIn,Fe,Hf,In,l21,0.817513,-0.04753625,6.239159512,124.8463,76.5015,7.6037,0.939484,0.605,0.605,-0.185,-0.06,0.965,23
Fe2HfPb,Fe,Hf,Pb,l21,1.019193,0.11774,6.284774971,2.0936,0,8.479,0.129677,0.003,0.003,-0.001,0,0.005,24
Fe2HfSb,Fe,Hf,Sb,l21,1.303617,-0.197518,6.195055848,211.8635,133.502,10.2036,0.941064,0.648,0.648,-0.17,-0.013,1.113,25
Fe2HfSi,Fe,Hf,Si,l21,1.427265,-0.51948075,5.8857532,0,0,9.551,0.082279,0,0,0,0,0,24
Fe2HfSn,Fe,Hf,Sn,l21,1.38934,-0.24183875,6.197725883,0.5976,0,8.6358,0.007157,0,0,0,0,0,24
Fe2IrAl,Fe,Ir,Al,xa,-0.218013,-0.21515625,5.911851097,9.0739,156.002,9.7062,0.51541,2.268,-2.347,0.202,0.029,0.152,28
Fe2IrAs,Fe,Ir,As,xa,-0.000386,0.19721425,5.988415205,522.8544,786.002,9.8462,0.174823,2.568,-2.211,0.219,0.041,0.617,30
Fe2IrB,Fe,Ir,B,xa,-0.918007,0.27843825,5.574460753,361.6675,0,10.251,0.435345,2.058,-1.552,0.131,0.078,0.715,28
Fe2IrBi,Fe,Ir,Bi,l21,0.318938,0.4885065,6.324737818,0.6879,433.502,9.4559,0.783573,2.523,2.523,0.617,-0.083,5.58,30
Fe2IrGa,Fe,Ir,Ga,xa,-0.191113,-0.06769,5.944488318,69.1611,1815,8.3228,0.407607,-2.327,2.545,-0.138,-0.054,0.026,28
Fe2IrGe,Fe,Ir,Ge,xa,-0.23312,0.037142,5.945766767,608.5979,1122,9.5135,0.245371,2.483,-2.166,0.21,0.063,0.59,29
Fe2IrIn,Fe,Ir,In,l21,0.162173,0.1714605,6.163781929,1813.8564,378.002,8.7723,0.662076,2.589,2.589,0.756,-0.119,5.815,28
Fe2IrPb,Fe,Ir,Pb,l21,0.188859,0.48110225,6.252737377,1612.0247,223.502,8.8866,0.632167,2.457,2.457,0.643,-0.111,5.446,29
Fe2IrSb,Fe,Ir,Sb,l21,0.068997,0.2283645,6.115151368,836.1912,157.502,10.9441,0.565876,1.984,1.984,0.495,-0.068,4.395,30
Fe2IrSi,Fe,Ir,Si,xa,-0.461355,-0.1720475,5.828996567,275.9768,1793,10.8377,0.406786,2.334,-1.998,0.181,0.05,0.567,29
Fe2IrSn,Fe,Ir,Sn,xa,-0.021448,0.15895375,6.190956043,364.6944,0,9.1838,0.569763,2.738,-2.279,0.244,0.079,0.782,29
Fe2MnAl,Fe,Mn,Al,xa,-0.329181,-0.1593965,5.713490674,43.6965,0,10.1242,0.224932,2.307,1.361,-1.661,0.001,2.008,26
Fe2MnAs,Fe,Mn,As,l21,0.300627,0.02484775,5.731387547,1317.6654,337.502,10.7855,0.158788,-1.089,-1.089,2.862,0.043,0.727,28
Fe2MnB,Fe,Mn,B,l21,0.114721,0.0151525,5.316890037,61.4436,313.502,10.7748,0.654834,-0.083,-0.083,2.157,0.009,2,26
Fe2MnBi,Fe,Mn,Bi,l21,0.557113,0.48425,6.205577597,245.7452,375.002,9.9119,0.484994,1.872,1.872,-3.348,-0.052,0.344,28
Fe2MnGa,Fe,Mn,Ga,xa,-0.31448,-0.023906,5.749534735,716.7176,741.002,8.3892,0.59705,2.357,-0.211,-0.019,0.009,2.136,26
Fe2MnGe,Fe,Mn,Ge,l21,0.267449,-0.137796,5.684710014,68.8576,0,10.0568,0.958901,0.171,0.171,2.659,-0.017,2.984,27
Fe2MnIn,Fe,Mn,In,xa,-0.235119,0.36225925,6.127535636,231.4323,981.002,8.4242,0.33534,-2.695,2.075,3.008,-0.122,2.266,26
Fe2MnPb,Fe,Mn,Pb,l21,0.432688,0.48122275,6.159706166,891.6086,822.002,8.9373,0.314156,1.812,1.812,-3.41,-0.062,0.152,27
Fe2MnSb,Fe,Mn,Sb,xa,-0.164119,0.101241,6.04676,320.6848,324.002,10.8601,0.284535,2.58,1.946,2.323,-0.053,6.796,28
Fe2MnSi,Fe,Mn,Si,l21,0.244099,-0.36864825,5.574166597,89.2369,0,11.4871,1,0.234,0.234,2.541,-0.008,3.001,27
Fe2MnSn,Fe,Mn,Sn,l21,0.702965,0.10052075,5.945075216,899.222,754.502,9.6223,0.94585,0.078,0.078,2.891,-0.055,2.992,27
Fe2MoAl,Fe,Mo,Al,l21,0.885286,-0.1834335,5.834301282,298.3591,0,11.3066,0.874685,0.476,0.476,-0.085,-0.011,0.856,25
Fe2MoAs,Fe,Mo,As,xa,-0.455159,0.092301,5.954307202,174.2705,414.002,10.8727,0.098592,2.434,1.817,-0.302,0.05,3.999,27
Fe2MoB,Fe,Mo,B,xa,-0.296496,0.19497925,5.600004278,329.5174,340.502,10.8425,0.044523,1.885,1.806,-0.243,0.007,3.455,25
Fe2MoBi,Fe,Mo,Bi,l21,0.324193,0.63382625,6.225112129,86.887,189.002,11.2151,0.111229,1.397,1.397,-0.454,-0.048,2.292,27
Fe2MoGa,Fe,Mo,Ga,l21,0.612051,-0.047596,5.846501702,212.7097,0,9.9529,0.825575,0.493,0.493,-0.085,-0.035,0.866,25
Fe2MoGe,Fe,Mo,Ge,xa,-0.002401,0.038285,5.942081326,79.0331,214.502,10.2444,0.081429,2.209,1.73,-0.48,0.007,3.466,26
Fe2MoIn,Fe,Mo,In,l21,0.735126,0.273388,6.143053801,447.5958,0,9.7038,0.347394,1.848,1.848,-0.515,-0.083,3.098,25
Fe2MoPb,Fe,Mo,Pb,l21,0.509214,0.5733555,6.203840943,133.7337,0,10.1358,0.24365,1.563,1.563,-0.313,-0.072,2.741,26
Fe2MoSb,Fe,Mo,Sb,l21,0.531287,0.246245,6.089585215,162.5736,205.502,12.2504,0.655096,1.343,1.343,0.159,-0.02,2.825,27
Fe2MoSi,Fe,Mo,Si,l21,0.046916,-0.16716425,5.772645813,156.1284,150.002,12.1501,0.812387,0.955,0.955,-0.066,-0.01,1.834,26
Fe2MoSn,Fe,Mo,Sn,l21,0.503898,0.19347575,6.091108323,163.0637,570.002,10.4948,0.29656,1.167,1.167,-0.194,-0.071,2.069,26
Fe2NbAl,Fe,Nb,Al,l21,1.692149,-0.37294325,5.919158338,0,0,8.7537,0.025233,0,0,0,0,0,24
Fe2NbAs,Fe,Nb,As,l21,0.127498,-0.02411775,5.957295436,60.6192,328.502,9.4339,0.842349,1.146,1.146,-0.294,0.018,2.016,26
Fe2NbB,Fe,Nb,B,l21,0.324897,0.096618,5.622726448,0.0992,0,9.0146,0.003115,0,0,0,0,0,24
Fe2NbBi,Fe,Nb,Bi,l21,0.956627,0.35324925,6.301645124,237.6045,310.502,9.3703,0.45037,1.376,1.376,-0.401,-0.04,2.311,26
Fe2NbGa,Fe,Nb,Ga,l21,1.335932,-0.263107,5.920658819,0.0395,0,7.723,0.013982,0,0,0,0,0,24
Fe2NbGe,Fe,Nb,Ge,l21,0.876146,-0.17569225,5.930350425,145.9595,0,8.8551,0.979424,0.626,0.626,-0.192,-0.016,1.044,25
Fe2NbIn,Fe,Nb,In,l21,1.36947,0.0238685,6.139878892,0.1434,0,8.2993,0.03149,0.001,0.001,0,0,0.002,24
Fe2NbPb,Fe,Nb,Pb,l21,0.986862,0.31836925,6.296651536,416.53,0,8.1785,0.303841,1.748,1.748,-0.537,-0.057,2.902,25
Fe2NbSb,Fe,Nb,Sb,l21,1.136567,-0.00349475,6.165008053,113.7297,256.502,10.2706,0.642501,1.208,1.208,-0.311,-0.012,2.093,26
Fe2NbSi,Fe,Nb,Si,l21,0.699818,-0.351825,5.843407403,133.4674,0,9.9759,0.974827,0.603,0.603,-0.168,-0.005,1.033,25
Fe2NbSn,Fe,Nb,Sn,l21,1.208696,-0.04572075,6.149765659,146.7261,126.002,8.7171,0.878359,0.678,0.678,-0.233,-0.048,1.075,25
Fe2NiAl,Fe,Ni,Al,xa,-0.047673,-0.10891575,5.710841852,67.0022,679.502,9.6272,0.220124,2.249,-1.52,-0.005,0.017,0.741,29
Fe2NiAs,Fe,Ni,As,l21,0.290849,0.02358625,5.708439103,2.2011,318.002,10.0925,0.223206,1.785,1.785,0.52,-0.069,4.021,31
Fe2NiB,Fe,Ni,B,l21,0.239772,0.202514,5.355779496,29.9241,0,9.7622,0.702666,1.819,1.819,0.59,-0.123,4.105,29
Fe2NiBi,Fe,Ni,Bi,l21,0.186549,0.4555225,6.174238624,469.875,627.002,9.3684,0.642107,2.374,2.374,0.543,-0.094,5.197,31
Fe2NiGa,Fe,Ni,Ga,l21,0.038005,-0.028668,5.748670651,106.936,558.002,7.9061,0.702658,2.198,2.198,0.589,-0.145,4.84,29
Fe2NiGe,Fe,Ni,Ge,l21,0.118614,-0.02611,5.714381629,225.3391,370.502,9.2235,0.489278,1.867,1.867,0.472,-0.112,4.094,30
Fe2NiIn,Fe,Ni,In,xa,-0.042427,0.2373345,6.031175366,177.8526,618.002,8.4375,0.472905,2.585,-2.287,0.15,0.027,0.475,29
Fe2NiPb,Fe,Ni,Pb,l21,0.07099,0.46564425,6.112099495,36.919,405.002,8.5261,0.554984,2.355,2.355,0.449,-0.149,5.01,30
Fe2NiSb,Fe,Ni,Sb,xa,-0.053447,0.12325275,5.99780134,13.9774,0,10.7248,0.616656,2.714,0.986,-0.062,-0.012,3.626,31
Fe2NiSi,Fe,Ni,Si,xa,-0.301283,-0.2950545,5.628769382,26.1856,285.002,10.7899,0.614975,2.585,1.731,0.425,-0.014,4.727,30
Fe2NiSn,Fe,Ni,Sn,l21,2397.964256,0.15226725,5.994630674,32.5928,402.002,8.8824,0.646319,2.213,2.213,0.446,-0.157,4.715,30
Fe2PdAl,Fe,Pd,Al,xa,-0.231164,-0.12362975,5.955755357,158.1839,1771,9.7923,0.268641,2.562,-2.045,0.046,0.025,0.588,29
Fe2PdAs,Fe,Pd,As,l21,0.446751,0.05902375,6.00181205,108.0949,586.502,9.6926,0.612079,2.456,2.456,0.207,-0.055,5.064,31
Fe2PdB,Fe,Pd,B,xa,-0.226511,0.43841275,5.611729523,340.8211,847.502,10.2348,0.002546,2.568,-1.335,0.066,0.056,1.355,29
Fe2PdBi,Fe,Pd,Bi,l21,0.409893,0.314252,6.36039297,95.5583,823.502,9.5313,0.711791,2.6,2.6,0.187,-0.106,5.281,31
Fe2PdGa,Fe,Pd,Ga,xa,-0.111061,-0.03174,5.978566622,52.597,1683,8.4469,0.30562,2.614,-2.246,0.06,0.053,0.481,29
Fe2PdGe,Fe,Pd,Ge,l21,0.127446,0.02397425,5.960374178,435.667,528.002,9.3208,0.641721,2.327,2.327,0.165,-0.126,4.693,30
Fe2PdIn,Fe,Pd,In,xa,-0.047024,0.1393755,6.233289112,421.1363,1553.2,8.6941,0.424355,2.786,-2.461,0.068,0.046,0.439,29
Fe2PdPb,Fe,Pd,Pb,l21,0.205168,0.34087625,6.308799631,913.3886,513.002,8.7069,0.562003,2.598,2.598,0.14,-0.162,5.174,30
Fe2PdSb,Fe,Pd,Sb,l21,0.296137,0.08671075,6.167990629,14.4615,444.002,10.8392,0.568413,2.283,2.283,0.181,-0.084,4.663,31
Fe2PdSi,Fe,Pd,Si,l21,0.000488,-0.07244775,5.844855558,245.8037,246.002,10.6188,0.576283,2.091,2.091,0.179,-0.102,4.259,30
Fe2PdSn,Fe,Pd,Sn,l21,0.084076,0.079595,6.19288503,337.566,861.002,9.1214,0.500974,2.458,2.458,0.134,-0.177,4.873,30
Fe2PtAl,Fe,Pt,Al,xa,-0.237865,-0.23991475,5.965663337,8.4096,1757.8,10.4512,0.247954,2.5,-2.239,0.089,0.027,0.377,29
Fe2PtAs,Fe,Pt,As,l21,0.518726,0.05237225,6.026522604,1082.6154,438.002,10.1138,0.444497,2.371,2.371,0.261,-0.071,4.932,31
Fe2PtB,Fe,Pt,B,xa,-0.473707,0.357914,5.657074867,833.4138,1170.4,10.8404,0.324242,2.289,-2.216,0.099,0.066,0.238,29
Fe2PtBi,Fe,Pt,Bi,l21,0.607449,0.29574525,6.358886832,67.0994,718.502,10.008,0.753582,2.525,2.525,0.224,-0.124,5.15,31
Fe2PtGa,Fe,Pt,Ga,xa,-0.075485,-0.101284,5.995483444,88.4823,1467.4,9.0688,0.101602,2.57,-2.357,0.092,0.06,0.365,29
Fe2PtGe,Fe,Pt,Ge,l21,0.153353,-0.00004575,5.97462238,613.4146,294.002,9.8994,0.748905,2.215,2.215,0.265,-0.115,4.58,30
Fe2PtIn,Fe,Pt,In,l21,0.112577,0.07315475,6.204368444,1210.2368,0,9.3193,0.7391,2.609,2.609,0.318,-0.153,5.383,29
Fe2PtPb,Fe,Pt,Pb,l21,0.385956,0.31822175,6.305139646,588.6738,315.002,9.3016,0.642636,2.551,2.551,0.241,-0.149,5.194,30
Fe2PtSb,Fe,Pt,Sb,l21,0.427827,0.08551525,6.171220693,818.0967,342.002,11.3726,0.456779,2.156,2.156,0.217,-0.084,4.445,31
Fe2PtSi,Fe,Pt,Si,xa,-0.057903,-0.1212,5.887355504,113.0433,577.502,11.473,0.005697,2.572,-1.871,0.057,0.045,0.803,30
Fe2PtSn,Fe,Pt,Sn,l21,0.180178,0.04459625,6.183466368,486.0265,0,9.7925,0.605512,2.357,2.357,0.235,-0.168,4.781,30
Fe2RhAl,Fe,Rh,Al,xa,-0.258893,-0.203634,5.882808807,470.815,2880.01,10.3332,0.333913,2.469,-1.905,0.273,0.029,0.866,28
Fe2RhAs,Fe,Rh,As,xa,-0.002499,0.09514725,5.953737274,385.8522,459.002,10.4596,0.117304,2.66,-2.105,0.184,0.04,0.779,30
Fe2RhB,Fe,Rh,B,xa,-0.709001,0.26880925,5.561157246,170.7899,0,10.745,0.492015,2.115,-1.951,0.153,0.075,0.392,28
Fe2RhBi,Fe,Rh,Bi,l21,0.117883,0.39191275,6.312128689,96.0254,571.502,9.8802,0.716147,2.584,2.584,0.629,-0.083,5.714,30
Fe2RhGa,Fe,Rh,Ga,xa,-0.232271,-0.09662675,5.914907212,205.6921,2442.01,8.8641,0.318657,2.403,-2.349,0.209,0.055,0.318,28
Fe2RhGe,Fe,Rh,Ge,xa,-0.218738,-0.03014525,5.921234404,231.4776,1500.4,10.013,0.401774,2.559,-2.114,0.258,0.063,0.766,29
Fe2RhIn,Fe,Rh,In,xa,-0.034613,0.14165025,6.17566698,86.3935,334.502,9.0369,0.16389,2.562,-2.718,0.144,0.029,0.017,28
Fe2RhPb,Fe,Rh,Pb,xa,-0.010226,0.39639175,6.279666831,391.3481,1009.5,9.2141,0.301048,2.804,-2.401,0.224,0.064,0.691,29
Fe2RhSb,Fe,Rh,Sb,xa,-0.028677,0.11604975,6.155012391,5.9407,658.502,11.2894,0.314767,2.817,-1.897,0.163,0.05,1.133,30
Fe2RhSi,Fe,Rh,Si,xa,-0.360966,-0.1970375,5.801309094,324.3971,1753.4,11.3867,0.010023,2.48,-1.691,0.213,0.047,1.049,29
Fe2RhSn,Fe,Rh,Sn,xa,-0.132053,0.07161225,6.168419136,445.2948,1511.4,9.6104,0.115466,2.745,-2.259,0.235,0.075,0.796,29
Fe2RuAl,Fe,Ru,Al,xa,-0.565062,-0.208441,5.873367517,330.9307,336.002,10.1894,0.178644,2.599,2.124,0.43,-0.027,5.126,27
Fe2RuAs,Fe,Ru,As,xa,-0.289282,0.16285075,5.903804222,382.3009,1029,10.9479,0.084533,2.299,-2.12,0.2,0.05,0.429,29
Fe2RuB,Fe,Ru,B,xa,-1.297759,0.172846,5.505864324,124.1435,0,11.1949,0.645767,2.321,0.648,0.036,0.027,3.032,27
Fe2RuBi,Fe,Ru,Bi,l21,0.024509,0.57643475,6.271518133,311.8064,637.502,10.3728,0.474615,2.337,2.337,1.295,-0.061,5.908,29
Fe2RuGa,Fe,Ru,Ga,xa,-0.167427,0.007819,5.861041232,194.3618,0,9.3308,0.409407,2.363,-1.876,0.346,0.073,0.906,27
Fe2RuGe,Fe,Ru,Ge,xa,-0.25411,0.0544845,5.870995881,158.9641,1260.6,10.3893,0.454062,2.175,-2.016,0.208,0.066,0.433,28
Fe2RuIn,Fe,Ru,In,l21,0.194034,0.259303,6.14520482,1532.5123,0,9.3259,0.490226,2.58,2.58,1.191,-0.152,6.199,27
Fe2RuPb,Fe,Ru,Pb,l21,0.076324,0.54238225,6.229984095,616.0394,657.002,9.5654,0.580321,2.404,2.404,1.357,-0.115,6.05,28
Fe2RuSb,Fe,Ru,Sb,xa,-0.113917,0.2345575,6.132082332,299.4871,1267.2,11.5659,0.636459,2.544,-2.12,0.268,0.051,0.743,29
Fe2RuSi,Fe,Ru,Si,xa,-0.606183,-0.20371075,5.764422161,448.7846,592.502,11.8166,0.276549,2.644,-0.162,0.462,0.048,2.992,28
Fe2RuSn,Fe,Ru,Sn,l21,0.019764,0.21147725,6.123435831,545.8956,0,9.9198,0.458929,2.307,2.307,1.285,-0.121,5.778,28
Fe2ScAl,Fe,Sc,Al,l21,0.28868,-0.189119,6.009841955,356.7634,109.502,7.962,0.886417,1.126,1.126,-0.206,-0.034,2.012,22
Fe2ScAs,Fe,Sc,As,l21,0.424592,-0.269087,5.888581627,0,0,9.6524,0.03153,0,0,0,0,0,24
Fe2ScB,Fe,Sc,B,xa,-0.307649,0.157704,5.755188761,307.6204,370.502,7.7369,0.942281,2.179,1.977,-0.094,-0.029,4.033,22
Fe2ScBi,Fe,Sc,Bi,l21,0.879617,0.14108275,6.412239453,162.1438,78.0015,8.5115,0.682668,1.954,1.954,-0.454,-0.048,3.406,24
Fe2ScGa,Fe,Sc,Ga,l21,0.821378,-0.133273,6.002035496,266.9009,618.002,6.839,0.933708,1.142,1.142,-0.241,-0.089,1.954,22
Fe2ScGe,Fe,Sc,Ge,l21,0.213924,-0.23387825,5.94217325,200.9694,0,8.0218,0.971378,0.539,0.539,-0.12,-0.03,0.928,23
Fe2ScIn,Fe,Sc,In,l21,0.799812,0.041187,6.362382768,660.36,274.502,7.0667,0.543604,2.264,2.264,-0.463,-0.147,3.918,22
Fe2ScPb,Fe,Sc,Pb,l21,0.76084,0.18711575,6.416654628,175.6923,550.502,7.457,0.846094,2.158,2.158,-0.463,-0.091,3.762,23
Fe2ScSb,Fe,Sc,Sb,l21,1.507355,-0.23497875,6.136921771,0.445,0,10.281,0.074533,0,0,0,0,0,24
Fe2ScSi,Fe,Sc,Si,l21,0.641035,-0.3779685,5.83980823,78.902,70.5015,9.1176,0.895482,0.535,0.535,-0.092,-0.02,0.958,23
Fe2ScSn,Fe,Sc,Sn,l21,1.120034,-0.123105,6.196721792,122.5217,51.0015,7.8926,0.862484,0.577,0.577,-0.154,-0.051,0.949,23
Fe2TiAl,Fe,Ti,Al,l21,1.023807,-0.453514,5.81749194,79.1595,112.502,8.9355,0.878069,0.629,0.629,-0.252,-0.014,0.992,23
Fe2TiAs,Fe,Ti,As,l21,0.566245,-0.325931,5.790627539,149.4448,124.502,10.3874,0.9991,0.654,0.654,-0.226,-0.005,1.077,25
Fe2TiB,Fe,Ti,B,l21,0.566952,-0.14082375,5.459799146,52.8217,435.002,9.3164,0.88125,0.537,0.537,-0.165,-0.022,0.887,23
Fe2TiBi,Fe,Ti,Bi,l21,0.976207,0.144761,6.22073231,114.1758,390.002,9.704,0.283881,1.456,1.456,-0.594,-0.045,2.273,25
Fe2TiGa,Fe,Ti,Ga,l21,0.656007,-0.36806075,5.823353855,86.2703,84.0015,7.6768,0.923142,0.629,0.629,-0.279,-0.038,0.941,23
Fe2TiGe,Fe,Ti,Ge,l21,1.035243,-0.4738585,5.782806938,0,0,9.6142,0.01314,0,0,0,0,0,24
Fe2TiIn,Fe,Ti,In,l21,1.133871,-0.05532875,6.073986439,113.5403,106.502,8.2708,0.862994,0.747,0.747,-0.404,-0.065,1.025,23
Fe2TiPb,Fe,Ti,Pb,l21,0.941315,0.15394225,6.212310668,506.7076,171.002,8.4947,0.409682,1.689,1.689,-0.719,-0.07,2.589,24
Fe2TiSb,Fe,Ti,Sb,l21,0.852036,-0.2403145,6.032043693,91.8122,40.5015,11.0207,0.939147,0.7,0.7,-0.267,-0.016,1.117,25
Fe2TiSi,Fe,Ti,Si,l21,1.452899,-0.6891925,5.682703245,0,0,10.6525,0.001797,0,0,0,0,0,24
Fe2TiSn,Fe,Ti,Sn,l21,0.981009,-0.26330575,6.030954749,0.0701,0,9.3533,0.008694,0,0,0,0,0,24
Fe2VAl,Fe,V,Al,l21,1.463223,-0.4280665,5.693553091,0.8986,0,9.564,0.00157,0,0,0,0,0,24
Fe2VAs,Fe,V,As,l21,0.105603,-0.09547375,5.73695672,55.0329,214.502,10.3264,0.803147,1.062,1.062,-0.234,0.006,1.896,26
Fe2VB,Fe,V,B,l21,0.875656,-0.17629325,5.356411649,0.8122,0,10.0445,0.001228,0,0,0,0,0,24
Fe2VBi,Fe,V,Bi,l21,0.031882,0.41321175,6.171493636,266.6819,528.002,9.7089,0.625854,1.722,1.722,-1.157,-0.031,2.256,26
Fe2VGa,Fe,V,Ga,l21,1.254093,-0.3074785,5.707921501,0.1107,0,8.3146,0.001441,0,0,0,0,0,24
Fe2VGe,Fe,V,Ge,l21,0.415603,-0.23708775,5.717658362,118.5188,0,9.6929,0.892817,0.54,0.54,-0.155,-0.021,0.904,25
Fe2VIn,Fe,V,In,l21,0.697622,0.13193475,5.967954363,0.558,0,8.7392,0.064698,1.214,1.214,-0.831,-0.072,1.525,24
Fe2VPb,Fe,V,Pb,l21,0.192383,0.381553,6.145330685,451.3053,286.502,8.6285,0.059042,1.878,1.878,-0.923,-0.046,2.787,25
Fe2VSb,Fe,V,Sb,l21,0.281711,0.02018,5.980683699,104.5124,163.502,10.982,0.67047,1.18,1.18,-0.361,-0.018,1.981,26
Fe2VSi,Fe,V,Si,l21,0.729005,-0.48120275,5.61173518,23.3796,73.5015,11.0634,0.784014,0.49,0.49,-0.113,-0.009,0.858,25
Fe2VSn,Fe,V,Sn,l21,0.35278,0.00430425,5.97201457,124.254,0,9.2973,0.817993,0.705,0.705,-0.394,-0.05,0.966,25
Fe2WAl,Fe,W,Al,l21,1.027761,-0.20897675,5.84647059,57.0222,0,11.0953,0.884353,0.538,0.538,-0.104,-0.009,0.963,25
Fe2WAs,Fe,W,As,xa,-0.156451,0.2454575,5.979167662,429.9158,511.502,10.578,0.15297,2.32,1.889,-0.264,0.062,4.007,27
Fe2WB,Fe,W,B,xa,-0.075792,0.274425,5.621691243,312.4895,307.502,10.5281,0.161797,1.851,1.752,-0.231,0.021,3.393,25
Fe2WBi,Fe,W,Bi,l21,0.766034,0.71139225,6.237953188,375.132,306.002,11.1027,0.747598,1.407,1.407,0.036,-0.025,2.825,27
Fe2WGa,Fe,W,Ga,l21,0.934581,-0.0558505,5.859779754,233.0856,0,9.7514,0.951617,0.555,0.555,-0.105,-0.031,0.974,25
Fe2WGe,Fe,W,Ge,l21,0.401391,0.06639075,5.881585512,297.5744,279.002,10.6937,0.850531,1.05,1.05,-0.142,-0.015,1.943,26
Fe2WIn,Fe,W,In,l21,1.313326,0.26841125,6.075014572,231.0998,0,10.0807,0.857948,0.655,0.655,-0.172,-0.054,1.084,25
Fe2WPb,Fe,W,Pb,l21,0.981211,0.61836075,6.187390811,374.8422,169.502,10.1406,0.160844,1.281,1.281,-0.24,-0.056,2.266,26
Fe2WSb,Fe,W,Sb,l21,0.780292,0.3236165,6.097783411,71.1879,352.502,12.2839,0.75807,1.387,1.387,0.041,-0.007,2.808,27
Fe2WSi,Fe,W,Si,l21,0.405597,-0.14886925,5.79271209,366.1623,316.502,11.9045,0.888819,1.02,1.02,-0.1,0,1.94,26
Fe2WSn,Fe,W,Sn,l21,0.967026,0.21469675,6.092799722,328.5571,330.002,10.4394,0.64223,1.141,1.141,-0.169,-0.056,2.057,26
Fe2YAl,Fe,Y,Al,l21,0.298064,0.0365885,6.22809612,388.4462,0,7.2762,0.907006,0,0,0.001,0,0.001,22
Fe2YAs,Fe,Y,As,l21,0.696497,0.03038275,6.268982448,31.1191,0,7.7991,0.770177,0,0,0,0,0,24
Fe2YB,Fe,Y,B,xa,-0.590079,0.45122025,6.052913243,179.1948,0,6.5374,0.295636,0,0,0.002,0,0.002,22
Fe2YBi,Fe,Y,Bi,l21,1.011642,0.20898425,6.680655773,341.2468,0,7.6665,0.829278,0,0,0.002,0,0.002,24
Fe2YGa,Fe,Y,Ga,xa,-0.142941,0.04683375,6.418860801,461.8673,0,5.5985,0.304507,0,0,0.001,0,0.001,22
Fe2YGe,Fe,Y,Ge,xa,-0.05568,0.010782,6.417634678,46.902,0,6.5129,0.183883,0,0,0.001,0,0.001,23
Fe2YIn,Fe,Y,In,l21,1.033704,0.13679275,6.590348338,850.1971,0,6.3864,0.522643,0,0,0.002,0,0.002,22
Fe2YPb,Fe,Y,Pb,l21,0.943115,0.252706,6.667241958,288.7657,0,6.7203,0.640815,0,0,0.001,0,0.001,23
Fe2YSb,Fe,Y,Sb,l21,1.211588,-0.0160775,6.499391778,249.019,0,8.5464,0.818305,0,0,0.002,0,0.002,24
Fe2YSi,Fe,Y,Si,l21,0.330274,-0.06080325,6.060841324,243.5127,0,8.2961,0.809453,0,0,0.002,0,0.002,23
Fe2YSn,Fe,Y,Sn,l21,1.187461,0.0166025,6.542200023,424.32,0,6.9645,0.547018,0,0,0,0,0,23
