Chemical Formula X2YZ,X,Y,Z,Structure Type,Total Energy Difference (eV),Formation Energy (eV),Lattice Constant (Ang),Anomalous Hall Conductivity (S/cm),Curie Temperature (K),Fermi Level (eV),Polarization,Magnetic Moments of X1 (muB),Magnetic Moments of X2 (muB),Magnetic Moments of Y (muB),Magnetic Moments of Z (muB),Total Magnetic Moments (muB),Number of Valence Electrons
Co2NiAl,Co,Ni,Al,xa,-0.057298,-0.2290045,5.634475734,151.2985,532.502,9.3703,0.399786,1.52,1.347,0.218,-0.014,3.071,31
Co2NiAs,Co,Ni,As,l21,0.304505,0.00766125,5.677206197,42.7061,334.502,9.6175,0.610821,1.025,1.025,0.308,-0.007,2.351,33
Co2NiB,Co,Ni,B,l21,0.240725,0.17399475,5.310274346,345.7579,643.502,9.2922,0.03774,1.044,1.044,0.533,-0.057,2.564,31
Co2NiBi,Co,Ni,Bi,l21,0.255615,0.40344925,6.057445797,233.249,261.002,9.4216,0.674043,1.083,1.083,0.353,-0.046,2.473,33
Co2NiGa,Co,Ni,Ga,l21,0.379745,-0.11211575,5.670477369,245.1067,426.002,7.544,0.170753,1.14,1.14,0.572,-0.093,2.759,31
Co2NiGe,Co,Ni,Ge,l21,0.16192,-0.08830575,5.66672546,211.3673,366.002,8.8712,0.643351,1.059,1.059,0.449,-0.048,2.519,32
Co2NiIn,Co,Ni,In,l21,0.319984,0.1698005,5.932989347,243.6018,421.502,8.0249,0.381113,1.274,1.274,0.571,-0.126,2.993,31
Co2NiPb,Co,Ni,Pb,l21,0.027783,0.398422,6.025894693,95.0683,315.002,8.3436,0.618011,1.195,1.195,0.495,-0.085,2.8,32
Co2NiSb,Co,Ni,Sb,l21,0.280919,0.06625775,5.899261768,325.4557,249.002,10.5443,0.681379,0.907,0.907,0.23,-0.026,2.018,33
Co2NiSi,Co,Ni,Si,l21,0.183593,-0.27964775,5.54881399,202.2444,316.502,10.2952,0.654668,0.94,0.94,0.406,-0.032,2.254,32
Co2NiSn,Co,Ni,Sn,l21,0.023484,0.06489975,5.921671396,113.2421,379.502,8.6357,0.643437,1.132,1.132,0.476,-0.086,2.654,32
Co2PdAl,Co,Pd,Al,xa,-0.294807,-0.23956125,5.880555965,107.0786,463.502,9.5076,0.366096,1.64,1.454,0.073,-0.014,3.153,31
Co2PdAs,Co,Pd,As,l21,0.488682,0.061988,5.932596196,384.5832,498.002,9.473,0.667065,1.43,1.43,0.177,0.005,3.042,33
Co2PdB,Co,Pd,B,l21,0.03506,0.47146375,5.590919371,467.0408,543.002,9.2784,0.169243,1.305,1.305,0.187,-0.074,2.723,31
Co2PdBi,Co,Pd,Bi,l21,0.48771,0.28727325,6.263014467,553.6007,358.502,9.4135,0.716814,1.426,1.426,0.157,-0.04,2.969,33
Co2PdGa,Co,Pd,Ga,xa,-0.187116,-0.11575375,5.899060949,53.1622,438.002,8.0925,0.564864,1.649,1.486,0.077,-0.043,3.169,31
Co2PdGe,Co,Pd,Ge,l21,0.104038,-0.0202845,5.8854746,263.8258,399.002,9.1155,0.641818,1.263,1.263,0.156,-0.055,2.627,32
Co2PdIn,Co,Pd,In,l21,0.639004,0.09165525,6.109838167,289.5739,381.002,8.4362,0.41508,1.436,1.436,0.182,-0.133,2.921,31
Co2PdPb,Co,Pd,Pb,l21,0.149309,0.298647,6.197721641,262.6834,310.502,8.6734,0.622607,1.344,1.344,0.154,-0.093,2.749,32
Co2PdSb,Co,Pd,Sb,l21,0.435266,0.0354665,6.085120543,241.8977,240.002,10.7005,0.652735,1.078,1.078,0.074,-0.032,2.198,33
Co2PdSi,Co,Pd,Si,xa,-0.000153,-0.1311545,5.796968872,230.1142,279.002,10.4844,0.707314,1.524,1.184,0.009,-0.006,2.711,32
Co2PdSn,Co,Pd,Sn,l21,0.072505,0.014632,6.097707043,133.5603,415.502,9.0126,0.705413,1.273,1.273,0.142,-0.096,2.592,32
Co2PtAl,Co,Pt,Al,xa,-0.265952,-0.32292375,5.89748693,22.6059,564.002,10.1391,0.835713,1.612,1.526,0.191,-0.011,3.318,31
Co2PtAs,Co,Pt,As,l21,0.442043,0.0906345,5.973479696,101.1357,547.502,9.875,0.819243,1.422,1.422,0.185,-0.008,3.021,33
Co2PtB,Co,Pt,B,xa,-0.319208,0.40328875,5.58168597,421.2636,211.502,10.3842,0.031822,-0.728,1.192,-0.013,-0.026,0.425,31
Co2PtBi,Co,Pt,Bi,l21,0.647838,0.291334,6.279197312,187.6003,436.502,9.8903,0.746034,1.429,1.429,0.171,-0.045,2.984,33
Co2PtGa,Co,Pt,Ga,xa,-0.111698,-0.1558345,5.925427547,266.4294,504.002,8.6933,0.81677,1.62,1.56,0.201,-0.033,3.348,31
Co2PtGe,Co,Pt,Ge,l21,0.24391,-0.01609575,5.918422947,189.5668,466.502,9.6499,0.652717,1.264,1.264,0.157,-0.047,2.638,32
Co2PtIn,Co,Pt,In,l21,0.455704,0.02409775,6.113684828,144.1072,423.002,9.0486,0.138395,1.421,1.421,0.2,-0.116,2.926,31
Co2PtPb,Co,Pt,Pb,l21,0.560799,0.2875085,6.211303748,21.8112,360.002,9.2184,0.66673,1.354,1.354,0.171,-0.08,2.799,32
Co2PtSb,Co,Pt,Sb,l21,0.465835,0.0712295,6.106524665,538.245,256.502,11.2123,0.812825,1.055,1.055,0.081,-0.029,2.162,33
Co2PtSi,Co,Pt,Si,xa,-0.012235,-0.12983175,5.813526485,313.4213,144.002,11.0799,0.592847,1.586,-0.53,0.028,0.009,1.093,32
Co2PtSn,Co,Pt,Sn,l21,0.367653,-0.0057205,6.111972215,231.7917,0,9.6106,0.706436,1.287,1.287,0.152,-0.083,2.643,32
Co2RhAl,Co,Rh,Al,l21,0.086838,-0.19534925,5.839678122,223.8281,543.002,9.8538,0.495982,1.451,1.451,0.701,-0.028,3.575,30
Co2RhAs,Co,Rh,As,xa,-0.034373,0.1086595,5.874248573,178.4525,255.002,10.0833,0.480224,1.603,-0.84,0.162,-0.006,0.919,32
Co2RhB,Co,Rh,B,xa,-0.978459,0.20024,5.499025188,626.8972,1104,10.5352,0.721819,1.622,1.297,0.388,0.003,3.31,30
Co2RhBi,Co,Rh,Bi,l21,0.181521,0.37276725,6.233266484,227.2585,547.502,9.7665,0.445479,1.547,1.547,0.49,-0.023,3.561,32
Co2RhGa,Co,Rh,Ga,l21,0.030598,-0.07193425,5.853777831,472.7154,484.502,8.4098,0.488822,1.451,1.451,0.681,-0.084,3.499,30
Co2RhGe,Co,Rh,Ge,xa,-0.156767,-0.03690975,5.857945519,384.9468,531.002,9.524,0.772051,1.666,0.186,0.272,0.012,2.136,31
Co2RhIn,Co,Rh,In,xa,-0.16987,0.078798,6.080324944,206.8989,436.502,8.8904,0.631988,1.863,1.463,0.417,-0.086,3.657,30
Co2RhPb,Co,Rh,Pb,l21,0.093972,0.36333325,6.164044973,205.6844,444.002,9.0332,0.560865,1.423,1.423,0.455,-0.085,3.216,31
Co2RhSb,Co,Rh,Sb,l21,0.006543,0.1019715,6.05889678,347.7395,436.502,11.1063,0.680514,1.274,1.274,0.288,-0.026,2.81,32
Co2RhSi,Co,Rh,Si,xa,-0.503293,-0.25700125,5.751835661,20.3777,544.502,11.0543,0.726259,1.561,1.34,0.445,-0.008,3.338,31
Co2RhSn,Co,Rh,Sn,l21,0.001075,0.05335925,6.066100784,540.7908,0,9.4033,0.47117,1.408,1.408,0.456,-0.083,3.189,31
Co2RuAl,Co,Ru,Al,l21,0.151563,-0.138972,5.838179056,524.3069,934.502,10.1992,0.409357,1.525,1.525,1.323,-0.025,4.348,29
Co2RuAs,Co,Ru,As,xa,-0.511687,0.16524675,5.824021364,459.8332,238.502,10.606,0.093919,-0.824,0.919,-0.039,-0.009,0.047,31
Co2RuB,Co,Ru,B,xa,-0.873073,0.27721675,5.460533123,140.0132,36.0015,10.68,0.487366,0.384,0.1,0.09,0.011,0.585,29
Co2RuBi,Co,Ru,Bi,xa,-0.032212,0.567616,6.213757408,322.5727,502.502,10.0511,0.607214,1.629,-0.237,0.512,0.023,1.927,31
Co2RuGa,Co,Ru,Ga,l21,0.148812,-0.0000265,5.854989812,436.0757,924.002,8.7825,0.234091,1.514,1.514,1.397,-0.068,4.357,29
Co2RuGe,Co,Ru,Ge,xa,-0.264984,0.060358,5.815042522,104.9106,391.502,9.8852,0.085648,0.818,-0.821,0.129,0.032,0.158,30
Co2RuIn,Co,Ru,In,l21,0.584115,0.21171025,6.077930681,613.9304,918.002,9.2191,0.016194,1.566,1.566,1.514,-0.108,4.538,29
Co2RuPb,Co,Ru,Pb,l21,0.284003,0.525774,6.173961439,36.3621,693.002,9.3842,0.595276,1.505,1.505,1.375,-0.06,4.325,30
Co2RuSb,Co,Ru,Sb,xa,-0.4883,0.167282,6.068288573,232.9857,526.502,11.2857,0.350423,1.57,1.244,0.569,-0.013,3.37,31
Co2RuSi,Co,Ru,Si,xa,-0.480771,-0.1504395,5.707512794,349.4089,244.502,11.2769,0.018319,0.653,-0.724,0.098,0.021,0.048,30
Co2RuSn,Co,Ru,Sn,l21,0.210411,0.1894185,6.071457825,361.3396,0,9.7742,0.58864,1.486,1.486,1.278,-0.062,4.188,30
Co2ScAl,Co,Sc,Al,l21,1.798306,-0.5024165,5.963423223,1.3006,0,7.7193,0.003031,0,0,0,0,0,24
Co2ScAs,Co,Sc,As,l21,1.237994,-0.39079175,5.974391863,3.5151,595.502,8.6797,0.908406,1.073,1.073,-0.15,0.07,2.066,26
Co2ScB,Co,Sc,B,l21,0.975924,-0.01439725,5.590290046,2.1362,0,7.8718,0.000414,0,0,0,0,0,24
Co2ScBi,Co,Sc,Bi,l21,1.343349,-0.10341925,6.356783897,68.8099,469.502,8.5603,0.943039,1.115,1.115,-0.151,0.028,2.107,26
Co2ScGa,Co,Sc,Ga,l21,1.392675,-0.43504825,5.957879506,1.0069,0,6.5446,0.000865,0,0,0,0,0,24
Co2ScGe,Co,Sc,Ge,l21,1.218683,-0.45114175,5.954633886,166.1993,186.002,7.7001,0.928073,0.605,0.605,-0.12,-0.002,1.088,25
Co2ScIn,Co,Sc,In,l21,1.444011,-0.246409,6.205604467,2.8918,0,7.1535,0.062145,0.003,0.003,-0.001,0,0.005,24
Co2ScPb,Co,Sc,Pb,l21,1.398689,-0.08384975,6.299761392,161.2785,0,7.3986,0.567299,0.694,0.694,-0.159,-0.038,1.191,25
Co2ScSb,Co,Sc,Sb,l21,1.576627,-0.3972915,6.205474359,79.4794,474.002,9.4961,1,1.093,1.093,-0.123,0.036,2.099,26
Co2ScSi,Co,Sc,Si,l21,1.545969,-0.57147375,5.856839604,93.7343,205.502,8.8234,0.994343,0.585,0.585,-0.104,0.007,1.073,25
Co2ScSn,Co,Sc,Sn,l21,0.685781,-0.3865285,6.200910692,129.3823,174.002,7.6014,0.76296,0.65,0.65,-0.139,-0.032,1.129,25
Co2TiAl,Co,Ti,Al,l21,1.67703,-0.61122675,5.823551845,141.7681,201.002,8.791,0.985177,0.602,0.602,-0.129,-0.002,1.073,25
Co2TiAs,Co,Ti,As,l21,0.64695,-0.312411,5.842722924,187.1786,75.0015,9.6732,0.816828,0.767,0.767,-0.046,0.046,1.534,27
Co2TiB,Co,Ti,B,l21,1.09243,-0.208805,5.472790112,212.7476,0,9.0213,0.973296,0.551,0.551,-0.109,0.022,1.015,25
Co2TiBi,Co,Ti,Bi,l21,0.943332,0.0692775,6.212056109,161.0888,0,9.5441,0.822678,0.836,0.836,-0.029,0.021,1.664,27
Co2TiGa,Co,Ti,Ga,l21,1.323959,-0.5203495,5.824676145,99.862,171.002,7.4698,0.930967,0.602,0.602,-0.142,-0.014,1.048,25
Co2TiGe,Co,Ti,Ge,l21,1.199654,-0.48893475,5.840042989,116.8752,409.502,8.7694,1,1.035,1.035,-0.053,0.027,2.044,26
Co2TiIn,Co,Ti,In,l21,1.387529,-0.2528215,6.071487524,76.5112,61.5015,7.9456,0.871857,0.664,0.664,-0.202,-0.039,1.087,25
Co2TiPb,Co,Ti,Pb,l21,1.221117,-0.011947,6.178727338,89.0967,385.502,8.3592,0.995718,1.072,1.072,-0.083,0.001,2.062,26
Co2TiSb,Co,Ti,Sb,l21,1.156151,-0.2755875,6.064581919,65.9196,61.5015,10.5636,0.802409,0.774,0.774,0.013,0.021,1.582,27
Co2TiSi,Co,Ti,Si,l21,1.41644,-0.65440425,5.743401291,129.241,435.002,9.9677,0.918891,1.017,1.017,-0.019,0.03,2.045,26
Co2TiSn,Co,Ti,Sn,l21,1.491011,-0.35843275,6.081792898,103.2837,372.002,8.5926,1,1.057,1.057,-0.055,0,2.059,26
Co2VAl,Co,V,Al,l21,1.221204,-0.41310125,5.742701255,138.7085,328.502,8.8434,0.964917,0.912,0.912,0.251,-0.008,2.067,26
Co2VAs,Co,V,As,xa,-0.126272,-0.042274,5.771474845,321.7559,220.502,8.9452,0.46429,0.091,0.596,-0.124,-0.008,0.555,28
Co2VB,Co,V,B,l21,0.517603,-0.0422425,5.404876748,119.6329,0,9.0837,0.902217,0.913,0.913,0.139,0.028,1.993,26
Co2VBi,Co,V,Bi,l21,0.271681,0.40153175,6.164166595,4.9801,0,9.2503,0.853799,0.909,0.909,-1.291,0.027,0.554,28
Co2VGa,Co,V,Ga,l21,0.967475,-0.30597575,5.750503472,124.3897,301.502,7.4806,0.999957,0.93,0.93,0.198,-0.025,2.033,26
Co2VGe,Co,V,Ge,l21,0.567055,-0.21942175,5.764054466,84.0752,406.502,8.8426,0.415751,1.035,1.035,0.792,0,2.862,27
Co2VIn,Co,V,In,l21,1.073425,-0.00172475,5.998635726,136.606,229.502,7.9954,0.889563,0.975,0.975,0.143,-0.051,2.042,26
